,title,recipe_data_output,model_output
10,double cherry delight,"[""'dark sweet pitted cherries'"", ""'ginger ale'"", ""'flavor gelatin'"", ""'boiling water'"", ""'almond extract'"", ""'marshmallows'""]","

Cherries, sugar, butter, flour, baking powder, eggs, vanilla extract, almond extract, cream cheese, powdered sugar."
11,buckeye candy,"[""'powdered sugar'"", ""'butter'"", ""'peanut butter'"", ""'paraffin'"", ""'chocolate chips'""]","

Peanut Butter, Butter, Powdered Sugar, Vanilla Extract, Salt, Chocolate Chips"
12,quick barbecue wings,"[""'chicken'"", ""'flour'"", ""'barbecue sauce'""]","

Chicken wings, Barbecue sauce, Salt, Pepper, Garlic powder, Paprika, Onion powder, Brown sugar, Cayenne pepper, Olive oil"
13,taco salad chip dip,"[""'taco sauce'"", ""'sour cream'"", ""'cream cheese'"", ""'ground beef'"", ""'taco seasoning'"", ""'shredded lettuce'"", ""'tomato'"", ""'onion'"", ""'green pepper'"", ""'cheddar cheese'""]","

Sour cream, cream cheese, taco seasoning, salsa, black olives, green onions, tomatoes, shredded cheese, tortilla chips"
14,pink stuff frozen dessert,"[""'pie filling'"", ""'pineapple'"", ""'condensed milk'"", ""'lemon juice'""]","

Strawberry, Cream, Sugar, Water, Natural Color, Natural Flavor, Guar Gum, Carrageenan, Citric Acid."
15,fresh strawberry pie,"[""'shell'"", ""'cleaned strawberries'"", ""'water'"", ""'cornstarch'"", ""'sugar'"", ""'salt'"", ""'strawberry jello'""]","

Strawberries, sugar, cornstarch, butter, lemon juice, salt, pie crust."
16,easy german chocolate cake,"[""'chocolate fudge cake'"", ""'white cake'"", ""'wesson oil'""]","

Flour, sugar, cocoa powder, baking powder, baking soda, salt, butter, eggs, evaporated milk, sweetened condensed milk, vanilla extract, chopped pecans, shredded coconut"
17,broccoli salad,"[""'broccoli'"", ""'bacon'"", ""'green onions'"", ""'raisins'"", ""'mayonnaise'"", ""'vinegar'"", ""'sugar'""]","

Broccoli, bacon, red onion, raisins, sunflower seeds, mayonnaise, apple cider vinegar, sugar, salt, pepper."
18,strawberry whatever,"[""'frozen strawberries'"", ""'pineapple'"", ""'bananas'"", ""'pecans'"", ""'strawberry'"", ""'boiling water'"", ""'sour cream'""]","

Strawberries, sugar, butter, flour, baking powder, salt, vanilla extract"
19,eggless milkless applesauce cake,"[""'sugar'"", ""'shortening'"", ""'applesauce'"", ""'soda'"", ""'cinnamon'"", ""'flour'"", ""'raisins'"", ""'nuts'""]","

All-purpose flour, baking powder, baking soda, salt, ground cinnamon, ground nutmeg, vegetable oil, white sugar, applesauce, vanilla extract, chopped walnuts (optional)"
20,grandma hanrath s banana breadfort collins  colorado,"[""'sugar'"", ""'shortening'"", ""'eggs'"", ""'salt'"", ""'soda'"", ""'flour'"", ""'nuts'"", ""'bananas'""]","

Flour, Sugar, Baking Soda, Salt, Bananas, Eggs, Butter, Vanilla Extract, Walnuts (optional)"
21,chocolate frango mints,"[""'cake mix'"", ""'chocolate fudge pudding'"", ""'sour cream'"", ""'water'"", ""'wesson oil'"", ""'eggs'"", ""'frango'""]","

Sugar, Corn Syrup, Cocoa, Natural and Artificial Flavors, Salt, Soy Lecithin, Artificial Color (FD&C Red 40, Blue 1)."
22,cuddy farms marinated turkey,"[""'vegetable oil'"", ""'soy sauce'"", ""'garlic'""]","

Turkey, Water, Salt, Sugar, Dextrose, Sodium Phosphate, Sodium Erythorbate, Natural Flavorings, Paprika, Garlic Powder, Onion Powder, Spice Extractives."
23,spaghetti sauce to can,"[""'tomatoes'"", ""'oil'"", ""'garlic'"", ""'tomato paste'"", ""'peppers'"", ""'sugar'"", ""'salt'"", ""'sweet basil'"", ""'oregano'"", ""'italian seasoning'""]","

Tomatoes, Onions, Garlic, Olive Oil, Basil, Oregano, Salt, Pepper"
24,prize winning meat loaf,"[""'ground beef'"", ""'tomato juice'"", ""'oats'"", ""'egg'"", ""'onion'"", ""'pepper'"", ""'salt'""]","

Ground beef, Onion, Garlic, Salt, Pepper, Worcestershire sauce, Egg, Breadcrumbs, Ketchup, Mustard, Milk, Cheese."
25,smothered round steak servings,"[""'steak'"", ""'ground black pepper'"", ""'ground white pepper'"", ""'vegetable oil'"", ""'bell peppers'"", ""'beef stock'"", ""'salt'"", ""'ground red pepper'"", ""'flour'"", ""'onions'"", ""'celery'""]","

Beef round steak, butter, onion, garlic, beef broth, Worcestershire sauce, tomato paste, all-purpose flour, paprika, black pepper, thyme, bay leaves, parsley, salt."
26,corral barbecued beef steak strips,"[""'long'"", ""'cooking oil'"", ""'tomato sauce'"", ""'water'"", ""'brown sugar'"", ""'mustard'"", ""'worcestershire sauce'"", ""'onion'""]","

Beef steak strips, olive oil, garlic, onion, Worcestershire sauce, brown sugar, chili powder, paprika, cumin, salt, pepper."
27,easy fudge,"[""'condensed milk'"", ""'semi-sweet chocolate chips'"", ""'unsweetened chocolate'"", ""'nuts'"", ""'vanilla'""]","

Butter, sugar, evaporated milk, vanilla extract, chocolate chips."
28,taco filled green pepper,"[""'ground beef'"", ""'taco seasoning'"", ""'beans'"", ""'onion'"", ""'salsa'"", ""'green peppers'"", ""'tomato'"", ""'cheddar cheese'"", ""'sour cream'""]","

Ground beef, onion, garlic, taco seasoning, black beans, corn, diced tomatoes, green pepper, cheddar cheese, sour cream, cilantro"
29,one hour rolls,"[""'milk'"", ""'sugar'"", ""'yeast'"", ""'salt'"", ""'crisco oil'"", ""'flour'""]","

Flour, sugar, yeast, salt, butter, milk, eggs"
30,punch bowl fruit salad,"[""'peaches'"", ""'fruit cocktail'"", ""'pineapple'"", ""'fresh strawberries'"", ""'red apples'"", ""'yellow apples'"", ""'bananas'"", ""'white grapes'"", ""'purple grapes'""]","

Oranges, Bananas, Apples, Strawberries, Grapes, Pineapple, Kiwi, Blueberries, Mango, Lychee, Coconut, Melon"
31,summer chicken,"[""'chicken cutlets'"", ""'oil'"", ""'red vinegar'"", ""'oregano'"", ""'garlic salt'""]","

Chicken, Olive Oil, Garlic, Onion, Red Pepper, Salt, Pepper, Paprika, Thyme, Rosemary, Lemon Juice"
32,cherry pizza,"[""'cherry pie mix'"", ""'deluxe white cake mix'"", ""'butter'"", ""'ground nuts'""]","

Tomato sauce, mozzarella cheese, cherries, red onion, basil, olive oil"
33,potato and cheese pie,"[""'eggs'"", ""'salt'"", ""'pepper'"", ""'potatoes'"", ""'cheddar cheese'"", ""'green onions'""]","

Potatoes, cheese, butter, flour, milk, salt, pepper, nutmeg, onion, garlic, parsley."
34,tuna macaroni casserole,"[""'macaroni'"", ""'tuna'"", ""'pimentos'"", ""'onion'""]","

Tuna, macaroni, butter, onion, celery, flour, milk, cheddar cheese, bread crumbs, parsley, salt, pepper."
35,artichoke dip,"[""'hearts'"", ""'mayonnaise'"", ""'parmesan cheese'""]","

Mayonnaise, Parmesan cheese, artichokes, garlic, lemon juice, salt, pepper."
36,broccoli dip for crackers,"[""'sour cream'"", ""'vegetable soup mix'"", ""'broccoli'"", ""'cheddar cheese'""]","

Mayonnaise, sour cream, cream cheese, garlic powder, onion powder, broccoli, cheddar cheese, bacon bits, salt, pepper"
37,summer spaghetti,"[""'salad supreme'"", ""'italian dressing'""]","

Tomatoes, Onion, Garlic, Olive Oil, Basil, Parsley, Salt, Pepper, Spaghetti Noodles"
38,pear lime salad,"[""'pear halves'"", ""'lime gelatin'"", ""'cream cheese'"", ""'lemon yogurt'""]","

Pear, Lime, Salad Greens, Olive Oil, Balsamic Vinegar, Salt, Pepper"
39,watermelon rind pickles,"[""'watermelon rind'"", ""'sugar'"", ""'apple vinegar'"", ""'oil'"", ""'oil of cinnamon'""]","

White vinegar, water, sugar, salt, watermelon rind, garlic cloves, mustard seeds, celery seeds, black peppercorns, bay leaves, dill seeds, red pepper flakes"
40,chicken stew,"[""'chicken'"", ""'potatoes'"", ""'onions'"", ""'corn'"", ""'english peas'"", ""'peas'"", ""'butter beans'"", ""'tomatoes'"", ""'tomato juice'"", ""'macaroni'"", ""'black pepper'"", ""'salt'"", ""'sugar'""]","

Chicken, potatoes, carrots, celery, onion, garlic, thyme, bay leaves, chicken broth, butter, flour, salt, pepper"
41,quick coffee cake  servings,"[""'butter'"", ""'sugar'"", ""'egg'"", ""'flour'"", ""'baking powder'"", ""'salt'"", ""'milk'"", ""'vanilla'"", ""'brown sugar'"", ""'cinnamon'"", ""'butter'""]","

Flour, Sugar, Baking Powder, Salt, Milk, Butter, Eggs, Vanilla Extract, Cinnamon, Brown Sugar"
42,angel biscuits,"[""'flour'"", ""'sugar'"", ""'baking powder'"", ""'yeast'"", ""'buttermilk'"", ""'soda'"", ""'margarine'"", ""'warm water'""]","

Flour, Baking Powder, Salt, Shortening, Milk"
43,quick peppermint puffs,"[""'marshmallows'"", ""'margarine'"", ""'peppermint candy'"", ""'crescent rolls'""]","

Flour, baking powder, sugar, salt, butter, milk, peppermint extract, powdered sugar"
44,fruit pizza,"[""'yellow cake mix'"", ""'water'"", ""'brown sugar'"", ""'butter'"", ""'eggs'"", ""'nuts'""]","

Crust, Cream Cheese, Fruit (Strawberries, Blueberries, Bananas, Kiwi, Pineapple, etc.), Honey, Powdered Sugar, Vanilla Extract"
45,chocolate mint bars,"[""'flour'"", ""'sugar'"", ""'oleo'"", ""'eggs'"", ""'chocolate syrup'""]","

Chocolate chips, butter, sugar, eggs, vanilla extract, all-purpose flour, baking powder, salt, peppermint extract, green food coloring."
46,beer bread,"[""'flour'"", ""'beer'"", ""'sugar'""]","

Flour, Yeast, Salt, Sugar, Beer"
47,chicken divan,"[""'margarine'"", ""'onion'"", ""'celery'"", ""'flour'"", ""'curry powder'"", ""'mushrooms'"", ""'cream of celery soup'"", ""'broccoli'"", ""'chicken'"", ""'cheese'""]","

Chicken, Broccoli, Cream of Chicken Soup, Mayonnaise, Lemon Juice, Parmesan Cheese, Breadcrumbs"
48,mexican cookie rings,"[""'flour'"", ""'baking powder'"", ""'salt'"", ""'butter'"", ""'sugar'"", ""'egg yolks'"", ""'vanilla'"", ""'multi-colored candies'""]","

Flour, Sugar, Baking Powder, Salt, Milk, Vanilla Extract, Butter, Cinnamon, Nutmeg, Allspice, Cloves, Anise, Orange Zest"
49,vegetable burger soup,"[""'ground beef'"", ""'water'"", ""'sugar'"", ""'onion soup'"", ""'tomatoes'"", ""'tomato sauce'"", ""'frozen mixed vegetables'""]","

Carrots, celery, potatoes, onion, green beans, vegetable broth, tomato paste, garlic, oregano, thyme, black pepper, bay leaves, red pepper flakes, Worcestershire sauce, vegetable burger crumbles."
50,chicken ole,"[""'chicken breasts'"", ""'cream of chicken soup'"", ""'cream of mushroom soup'"", ""'green chili salsa sauce'"", ""'green chilies'"", ""'milk'"", ""'onion'"", ""'corn tortilla'""]","

Tomatoes, Onion, Garlic, Green Bell Pepper, Red Bell Pepper, Chicken, Olive Oil, Cumin, Paprika, Salt, Pepper, Oregano, Parsley."
51,creamy coleslaw better homes and gardens,"[""'cabbage'"", ""'carrots'"", ""'green pepper'"", ""'onion'"", ""'mayonnaise'"", ""'vinegar'"", ""'sugar'"", ""'celery'"", ""'salt'""]","

Cabbage, Carrot, Mayonnaise, White Vinegar, Sugar, Salt, Celery Seed, Onion Powder, Mustard Powder"
52,creole flounder,"[""'flounder'"", ""'tomatoes'"", ""'green pepper'"", ""'lemon juice'"", ""'salad oil'"", ""'salt'"", ""'onion'"", ""'basil'"", ""'ground black pepper'"", ""'drops red pepper sauce'"", ""'green pepper'""]","

Lemon juice, olive oil, garlic, onion, bell pepper, celery, parsley, thyme, bay leaves, paprika, cayenne pepper, flounder fillets, butter, white wine, tomato sauce, Worcestershire sauce, green onions, salt, pepper."
53,three bean salad,"[""'green beans'"", ""'yellow beans'"", ""'kidney beans'"", ""'sugar'"", ""'salad oil'"", ""'vinegar'"", ""'water'""]","

Kidney beans, black beans, chickpeas, red onion, bell pepper, olive oil, red wine vinegar, garlic, parsley, salt, pepper."
54,dave s corn casserole,"[""'whole kernel corn'"", ""'cream-style'"", ""'sour cream'"", ""'corn bread'"", ""'margarine'""]","

corn, cream-style corn, butter, eggs, onion, green pepper, jalapeno pepper, cheddar cheese, sour cream, cornbread mix, salt, pepper."
55,casserole italiano,"[""'ground beef'"", ""'onion'"", ""'tomato soup'"", ""'noodles'"", ""'oregano'"", ""'salt'"", ""'water'"", ""'cheese'""]","

Tomatoes, onions, garlic, bell peppers, mushrooms, Italian sausage, black olives, oregano, basil, parsley, olive oil, salt, pepper."
56,corned beef and cabbage casserole,"[""'cabbage'"", ""'dry mustard'"", ""'corned beef'"", ""'cream of celery soup'"", ""'onion'""]","

Corned beef, cabbage, potatoes, carrots, onion, garlic, butter, beef broth, Worcestershire sauce, thyme, bay leaves, black pepper."
57,crab cakes,"[""'worcestershire sauce'"", ""'dry mustard'"", ""'mayonnaise'"", ""'egg'""]","

Crab meat, mayonnaise, bread crumbs, eggs, onion, garlic, parsley, Old Bay seasoning, Worcestershire sauce, lemon juice, pepper, salt."
58,taco dip,"[""'cream cheese'"", ""'mayonnaise'"", ""'taco sauce'"", ""'green onions'"", ""'green pepper'"", ""'tomato'"", ""'mozzarella cheese'"", ""'cheddar cheese'"", ""'black olives'"", ""'tortilla chips'""]","

Sour cream, cream cheese, salsa, taco seasoning, black olives, tomatoes, green onions, jalapenos, shredded cheese, guacamole."
59,bonbon cookies,"[""'butter'"", ""'peanut butter'"", ""'graham cracker crumbs'"", ""'coconut'"", ""'nut meats'"", ""'vanilla'""]","

Flour, Sugar, Butter, Eggs, Vanilla Extract, Baking Powder, Salt, Chocolate Chips"
60,gooey coffee cake,"[""'yellow cake'"", ""'eggs'"", ""'oleo'"", ""'nuts'"", ""'eggs'"", ""'cream cheese'"", ""'powdered sugar'""]","

Flour, Sugar, Baking Powder, Salt, Butter, Milk, Eggs, Vanilla Extract, Brown Sugar, Cinnamon"
61,phylis  pineapple banana salad,"[""'pineapple'"", ""'bananas'""]","

Pineapple, Banana, Lettuce, Mayonnaise, Honey, Salt, Pepper."
62,chicken casserole,"[""'cream of mushroom soup'"", ""'cream of chicken soup'"", ""'cream of celery soup'"", ""'chicken'"", ""'butter'"", ""'rice'""]","

Chicken, onion, celery, carrots, mushrooms, garlic, thyme, bay leaves, chicken broth, cream of mushroom soup, butter, flour, salt, pepper."
63,pineapple nut pie,"[""'cream cheese'"", ""'condensed milk'"", ""'pineapple'"", ""'nuts'"", ""'lemon juice'""]","

Pineapple, walnuts, butter, sugar, flour, eggs, vanilla extract, salt, cinnamon, nutmeg"
64,annie s diabetic candy,"[""'vanilla'"", ""'cream cheese'"", ""'butter'"", ""'peanut butter'""]","

Sugar, Corn Syrup, Palm Kernel Oil, Cocoa, Nonfat Milk, Milk Protein Concentrate, Soy Lecithin, Salt, Natural and Artificial Flavors, Sucralose, Acesulfame Potassium."
65,frozen peach mousse,"[""'peaches'"", ""'sugar'"", ""'sour cream'"", ""'lemon juice'"", ""'vanilla'""]","

Heavy cream, peaches, sugar, gelatin, egg whites, lemon juice"
66,strawberry pie,"[""'frozen strawberries'"", ""'sugar'"", ""'cream cheese'""]","

Strawberries, sugar, flour, butter, salt, lemon juice, cornstarch, vanilla extract."
67,blueberry surprise,"[""'margarine'"", ""'graham cracker crumbs'"", ""'granulated sugar'""]","

Cream cheese, blueberries, sugar, vanilla extract, graham cracker crumbs, butter"
68,moist devil s food cake,"[""'flour'"", ""'baking soda'"", ""'salt'"", ""'shortening'"", ""'sugar'"", ""'eggs'"", ""'cocoa'"", ""'water'"", ""'vanilla'"", ""'milk'""]","

Flour, cocoa powder, baking soda, baking powder, salt, butter, sugar, eggs, sour cream, vanilla extract, hot water"
69,dot s civil war cake,"[""'apples'"", ""'raisins'"", ""'brown sugar'"", ""'sugar'"", ""'shortening'"", ""'cold water'"", ""'flour'"", ""'soda'"", ""'cinnamon'"", ""'nutmeg'"", ""'cloves'"", ""'salt'"", ""'nuts'""]","

Flour, sugar, baking powder, salt, butter, eggs, milk, raisins, currants, citron, nutmeg, cinnamon, allspice, cloves"
70,potato casserole,"[""'potatoes'"", ""'onion'"", ""'butter'"", ""'cream of chicken soup'"", ""'sour cream'"", ""'cheddar cheese'"", ""'cornflakes'""]","

Potatoes, butter, cream, onion, garlic, cheese, salt, pepper"
71,dream pie,"[""'vanilla wafers'"", ""'butter'""]","

Crust, sugar, butter, eggs, cream cheese, vanilla extract, lemon juice, graham cracker crumbs, fresh fruit, whipped cream"
72,divinity fudge,"[""'sugar'"", ""'white corn syrup'"", ""'cold water'"", ""'egg whites'"", ""'vanilla'"", ""'nuts'""]","

Sugar, corn syrup, water, egg whites, vanilla extract, salt, pecans."
73,apple crisp,"[""'apples'"", ""'sugar'"", ""'cinnamon'"", ""'sugar'"", ""'flour'"", ""'salt'"", ""'corn flake crumbs'"", ""'oleo'""]","

Apples, Brown Sugar, Flour, Butter, Cinnamon, Nutmeg, Salt"
74,sausage balls,"[""'bisquick'"", ""'sausage'"", ""'cheddar cheese'""]","

Sausage, Bisquick, Cheddar Cheese, Milk, Onion Powder, Garlic Powder, Salt, Pepper"
75,consomme chicken,"[""'chicken'"", ""'cream of chicken soup'"", ""'consomme'"", ""'rice'"", ""'salt'"", ""'pepper'""]","

Chicken stock, carrots, celery, onions, parsley, bay leaves, peppercorns, salt, egg whites, lemon juice."
76,spanish hamburgers,"[""'celery'"", ""'onions'"", ""'butter'"", ""'ground beef'"", ""'vinegar'"", ""'lemon juice'"", ""'brown sugar'"", ""'mustard'"", ""'salt'"", ""'pepper'"", ""'catsup'"", ""'water'""]","

Ground beef, onion, garlic, paprika, cumin, oregano, olive oil, tomato, lettuce, mayonnaise, bread rolls."
77,egg drop soup,"[""'chicken broth'"", ""'cornstarch'"", ""'egg'"", ""'green onion'""]","

Eggs, chicken broth, cornstarch, scallions, ginger, garlic, sesame oil, salt, pepper."
78,mulled cider,"[""'apple juice'"", ""'allspice'"", ""'whole cloves'"", ""'cinnamon'"", ""'brown sugar'""]","

Apple cider, cinnamon sticks, orange slices, cloves, nutmeg, allspice, honey, star anise"
79,sesame ginger chicken,"[""'sesame seed'"", ""'grated ginger'"", ""'honey'"", ""'soy sauce'"", ""'chicken'"", ""'vegetable cooking spray'"", ""'thin green onion strips'""]","

Chicken, sesame oil, ginger, garlic, soy sauce, honey, rice vinegar, scallions, sesame seeds"
80,egg casserole,"[""'vidalia onion'"", ""'fresh mushrooms'"", ""'green peppers'"", ""'clove garlic'"", ""'olive oil'"", ""'bread'"", ""'eggs'"", ""'milk'""]","

Eggs, milk, cheese, bread, butter, onion, bell pepper, mushrooms, salt, pepper"
81,cranberry apple orange salad,"[""'cranberries'"", ""'sugar'"", ""'apple'"", ""'orange'"", ""'orange gelatin'"", ""'nuts'""]","

Cranberries, Apples, Oranges, Walnuts, Celery, Red Onion, Olive Oil, Lemon Juice, Honey, Salt, Pepper."
82,brown rice,"[""'rice'"", ""'beef consomme'"", ""'onion soup'"", ""'mushrooms'"", ""'margarine'""]","

Brown Rice, Water, Salt"
83,cranberry salad,"[""'cream cheese'"", ""'margarine'"", ""'sugar'"", ""'cranberry sauce'"", ""'pineapple'"", ""'walnuts'"", ""'whipping cream'""]","

Cranberries, celery, walnuts, mayonnaise, sugar, lemon juice, salt, pepper."
84,cheese dip,"[""'velveeta cheese'"", ""'italian tomatoes'"", ""'green chili peppers'"", ""'onion'"", ""'garlic'"", ""'salt'""]","

Cheddar cheese, cream cheese, sour cream, garlic powder, onion powder, paprika, cayenne pepper, Worcestershire sauce, hot sauce."
85,funnel cake,"[""'flour'"", ""'salt'"", ""'soda'"", ""'sugar'"", ""'baking powder'"", ""'egg'"", ""'milk'"", ""'oil'"", ""'powdered sugar'""]","

Flour, sugar, baking powder, salt, eggs, milk, oil, vanilla extract"
86,fast real good fudge,"[""'confectioners sugar'"", ""'cocoa'"", ""'nuts'"", ""'margarine'"", ""'velveeta'"", ""'vanilla'""]","

Butter, sugar, evaporated milk, cocoa powder, vanilla extract, chopped nuts (optional)."
87,squash casserole,"[""'squash'"", ""'onions'"", ""'sour cream'"", ""'carrots'"", ""'chicken'"", ""'stuffing mix'"", ""'butter'"", ""'salt'""]","

Squash, onion, butter, cream of mushroom soup, sour cream, cheddar cheese, bread crumbs, salt, pepper."
88,cheese ball,"[""'cream cheese'"", ""'cheddar cheese'"", ""'pimento'"", ""'green pepper'"", ""'onion'"", ""'lemon juice'"", ""'worcestershire sauce'"", ""'tabasco sauce'"", ""'salt'""]","

Cream cheese, cheddar cheese, garlic powder, onion powder, Worcestershire sauce, parsley, pecans, bacon bits."
89,apricot salad,"[""'apricot jello'"", ""'sugar'"", ""'cream cheese'"", ""'jars junior baby food'"", ""'pineapple'"", ""'milk'"", ""'water'""]","

Apricots, lettuce, feta cheese, walnuts, olive oil, balsamic vinegar, honey, salt, pepper."
90,pound cake,"[""'flour'"", ""'sugar'"", ""'baking powder'"", ""'salt'"", ""'eggs'"", ""'margarine'"", ""'butter'"", ""'sweet milk'"", ""'vanilla'""]","

Flour, Sugar, Butter, Eggs, Milk, Baking Powder, Vanilla Extract"
91,monkey bread,"[""'bread'"", ""'margarine'"", ""'brown sugar'"", ""'vanilla pudding'"", ""'milk'"", ""'cinnamon'""]","

Brown sugar, butter, cinnamon, raisins, biscuit dough, nuts, sugar"
92,chicken roll ups,"[""'crescent rolls'"", ""'cheese'"", ""'hen'"", ""'cream of chicken soup'"", ""'milk'""]","

Chicken, cream cheese, spinach, sun-dried tomatoes, garlic, basil, olive oil, salt, pepper."
93,beef and spanish rice casserole,"[""'spanish rice'"", ""'corned beef'"", ""'onion'"", ""'cheddar cheese'""]","

Ground beef, onion, garlic, bell pepper, tomato sauce, diced tomatoes, long grain white rice, beef broth, chili powder, cumin, oregano, salt, pepper"
94,baked beans,"[""'pork'"", ""'bell pepper'"", ""'onions'"", ""'catsup'"", ""'brown sugar'"", ""'salt'"", ""'black pepper'"", ""'ground beef'"", ""'oil'""]","

Tomatoes, Navy Beans, Brown Sugar, Molasses, Onion, Mustard, Salt, Pepper"
95,sweet n sour chicken,"[""'chicken'"", ""'shortening'"", ""'onion'"", ""'carrot chunks'"", ""'water'"", ""'chicken'"", ""'brown sugar'"", ""'cornstarch'"", ""'ginger'"", ""'catsup'"", ""'vinegar'"", ""'soy sauce'"", ""'green pepper'"", ""'pineapple'""]","

Chicken, sugar, vinegar, ketchup, soy sauce, garlic, ginger, onion, bell pepper, pineapple, cornstarch, water, oil."
96,ambrosia,"[""'oranges'"", ""'moist coconut'"", ""'pecans'"", ""'cherries'"", ""'sugar'"", ""'orange juice'""]","

Coconut, mandarin oranges, marshmallows, sour cream, pineapple, maraschino cherries, mini marshmallows, shredded coconut, and whipped cream."
97,crazy peanut butter cookies,"[""'peanut butter'"", ""'sugar'"", ""'egg'""]","

Peanut butter, sugar, eggs, butter, vanilla extract, baking soda, salt, chocolate chips"
98,brickle bars,"[""'yellow cake mix'"", ""'eggs'"", ""'margarine'"", ""'milk'"", ""'pecans'""]","

Butter, brown sugar, graham cracker crumbs, chopped nuts, chocolate chips, vanilla extract"
99,pancakes,"[""'flour'"", ""'soda'"", ""'salt'"", ""'sugar'"", ""'egg'"", ""'margarine'"", ""'buttermilk'""]","

Flour, Baking Powder, Salt, Milk, Eggs, Butter, Sugar"
100,crustless vegetable ham pie,"[""'butter'"", ""'mushrooms'"", ""'garlic'"", ""'zucchini'"", ""'onion'"", ""'eggs'"", ""'ricotta cheese'"", ""'shredded monterey jack'"", ""'frozen spinach'"", ""'dill weed'"", ""'salt'""]","

Eggs, Milk, Onion, Carrots, Broccoli, Ham, Cheese, Salt, Pepper"
101,red cabbage and apples,"[""'red cabbage'"", ""'butter'"", ""'apples'"", ""'brown sugar'"", ""'vinegar'""]","

Red cabbage, apples, salt, pepper, olive oil, garlic, onion, thyme, bay leaf."
102,german potato salad,"[""'potatoes'"", ""'bacon'"", ""'sugar'"", ""'flour'"", ""'salt'"", ""'pepper'"", ""'cider vinegar'"", ""'water'"", ""'green onions'""]","

Potatoes, bacon, onion, celery, vinegar, sugar, mustard, salt, pepper, oil."
103,jan s winter soup,"[""'butter'"", ""'onions'"", ""'ground beef'"", ""'clove garlic'"", ""'beef'"", ""'tomatoes'"", ""'potatoes'"", ""'carrots'"", ""'celery'"", ""'frozen green beans'"", ""'red wine'"", ""'basil'"", ""'thyme'"", ""'salt'""]","

Carrots, celery, potatoes, onion, garlic, vegetable broth, thyme, bay leaves, parsley, salt, pepper."
104,microwave spice tea,"[""'sugar'"", ""'sugar'"", ""'ground cloves'"", ""'cinnamon'"", ""'instant tea'""]","

Cardamom, Cinnamon, Cloves, Ginger, Fennel, Black Pepper, Nutmeg"
105,barbecue noodle cheese bake,"[""'manwich'"", ""'hamburg'"", ""'american cheese'"", ""'noodles'""]","

Noodles, Barbecue Sauce, Cheese, Onion, Garlic, Bell Pepper, Olive Oil, Salt, Pepper"
